date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:40	129648/129648	---M--	200	added ('OK')	font/eot	etag:%221fa70-5caf0a8536658%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.eot?	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400d41d.eot	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:40	74652/74652	---M--	200	added ('OK')	font/woff2	etag:%221239c-5caf0a8536658%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.woff2	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.woff2	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:40	87544/87544	---M--	200	added ('OK')	font/woff	etag:%22155f8-5caf0a8536658%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.woff	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.woff	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:40	129344/129344	---M--	200	added ('OK')	font/ttf	etag:%221f940-5caf0a8536658%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.ttf	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.ttf	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:41	400852/400852	---M--	200	added ('OK')	font/eot	etag:%2261dd4-5caf0a8546ff8%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.eot	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.eot	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:41	400852/400852	---M--	200	added ('OK')	font/eot	etag:%2261dd4-5caf0a8546ff8%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.eot?	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300d41d.eot	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:41	157008/157008	---M--	200	added ('OK')	font/woff2	etag:%2226550-5caf0a8549ed8%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.woff2	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.woff2	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:41	207152/207152	---M--	200	added ('OK')	font/woff	etag:%2232930-5caf0a8549ed8%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.woff	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.woff	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:41	691822/691822	---M--	200	added ('OK')	image/svg+xml	etag:%22a8e6e-5caf0a8536658%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.svg	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-brands-400.svg	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:42	400572/400572	---M--	200	added ('OK')	font/ttf	etag:%2261cbc-5caf0a8549ed8%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.ttf	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-light-300.ttf	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
12:48:43	145136/145136	---M--	200	added ('OK')	font/woff2	etag:%22236f0-5caf0a854be18%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-regular-400.woff2	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/fonts/fa-regular-400.woff2	(from https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css)
